model,nodes,edges,elements,polygons,bonds,rigids,time
a.s00000021__s00000698.tpn_0.json,60,66,126,15,0,1,30194625
a.s00000023__s00000777.tpn_0.json,70,78,148,18,0,1,22722449
a.s00000023__s00000863.tpn_0.json,26,28,54,6,0,1,7281118
a.s00000023__s00000863.tpn_1.json,38,43,81,9,0,1,7117401
a.s00000025__s00001059.tpn_0.json,99,117,216,26,0,1,21692857
a.s00000025__s00001098.tpn_0.json,58,70,128,15,0,1,9414442
a.s00000029__s00001009.tpn_0.json,66,77,143,17,0,1,12200744
a.s00000029__s00001081.tpn_0.json,72,82,154,19,0,1,12637294
a.s00000029__s00001116.tpn_0.json,82,93,175,21,0,1,12111168
a.s00000029__s00001135.tpn_0.json,39,43,82,10,0,1,7193266
a.s00000029__s00001148.tpn_0.json,83,98,181,22,0,1,39593959
a.s00000029__s00001158.tpn_0.json,81,96,177,21,0,1,10188442
a.s00000029__s00001170.tpn_0.json,42,48,90,10,0,1,5727288
a.s00000031__s00001218.tpn_0.json,41,46,87,10,0,1,5052717
a.s00000031__s00001361.tpn_0.json,129,163,292,34,0,1,16886700
a.s00000033__s00001232.tpn_0.json,119,174,293,31,0,1,17945439
a.s00000035__s00001370.tpn_0.json,26,28,54,6,0,1,1979213
a.s00000035__s00001374.tpn_0.json,105,123,228,29,0,1,8858265
a.s00000035__s00001397.tpn_0.json,57,62,119,14,0,1,6611965
a.s00000035__s00001411.tpn_0.json,42,47,89,10,0,1,3428359
a.s00000035__s00001416.tpn_0.json,80,97,177,21,0,1,8036152
a.s00000035__s00001435.tpn_0.json,40,44,84,10,0,1,2369703
a.s00000041__s00001526.tpn_0.json,26,28,54,6,0,1,2270520
a.s00000043__s00000846.tpn_0.json,71,87,158,20,0,1,6395127
a.s00000043__s00001444.tpn_0.json,73,90,163,21,0,1,4125427
a.s00000043__s00001452.tpn_0.json,100,120,220,26,0,1,6944243
a.s00000043__s00001472.tpn_0.json,73,90,163,21,0,1,6276240
a.s00000045__s00001491.tpn_0.json,59,65,124,15,0,1,3351181
